,Country,Universities Names,University Place,Tuition Fees,Living Fees,Top Course,Exam Score
402, Usa,"Oregon State University, Corvallis","Oregon, Usa",₹29L/Yr,₹8L/Yr,M.S Computer Science,"['IELTS - 6.0', 'PTE - 41']"
403, Singapore,"Singapore Management University, Singapore","Singapore, Singapore",₹36L/Yr,₹10L/Yr,M.B.A,"['TOEFL - 71', 'PTE - 48']"
404, Usa,"Lehigh University, Bethlehem","Pennsylvania, Usa",₹43L/Yr,₹3L/Yr,M.S Computer Science,"['IELTS - 6.5', 'PTE - 53']"
405, Uk,"University of Huddersfield, Huddersfield","England, Uk",₹18L/Yr,₹10L/Yr,M.S Business Analytics,"['GRE - 300', 'TOEFL - 80', 'PTE - 60']"
406, Usa,"University of Missouri, Columbia","Missouri, Usa",₹24L/Yr,₹9L/Yr,M.S Computing,"['Duolingo - 120', 'IELTS - 7']"
407, Australia,"Central Queensland University, Rockhampton","Queensland, Australia",₹19L/Yr,₹7L/Yr,M.P.H,"['TOEFL - 80', 'PTE - 59']"
408, Uk,"Manchester Metropolitan University, Manchester","England, Uk",₹19L/Yr,₹6L/Yr,M.S Computer and Information Sci...,"['GRE - 320', 'IELTS - 6.5', 'PTE - 63']"
409, Uk,"Nottingham Trent University, Nottingham","England, Uk",₹17L/Yr,₹12L/Yr,M.S Computer Engineering,"['TOEFL - 79', 'PTE - 53']"
410, Germany,"Saarland University, Saarbrucken","Saarland, Germany",₹52K/Yr,₹10L/Yr,M.S Computer Science,['TOEFL - 87']
411, Usa,"Tulane University, New Orleans","Louisiana, Usa",₹44L/Yr,₹10L/Yr,M.B.A,"['GMAT - 500', 'IELTS - 6.5', 'PTE - 54']"
412, Uk,"Kingston University, Kingston upon Thames","England, Uk",₹19L/Yr,₹12L/Yr,M.S Computer Science,['TOEFL - 80']
413, Germany,"Martin Luther University Halle-Wittenberg, Halle","Saxony, Germany",₹8K/Yr,₹10L/Yr,M.S Data Science,"['Duolingo - 105', 'TOEFL - 80', 'PTE - 53']"
414, Usa,"University of New Mexico, Albuquerque","New Mexico, Usa",₹25L/Yr,₹8L/Yr,M.S Computer Science,"['IELTS - 6.5', 'PTE - 56']"
415, Canada,"Memorial University of Newfoundland, St. John's","Newfoundland & Labrador, Canada",₹6L/Yr,₹1L/Yr,M.S Mechanical Engineering and M...,"['IELTS - 6.5', 'PTE - 58']"
416, Hong Kong,"Lingnan University, Tuen Mun","Hong Kong, Hong Kong",₹19L/Yr,₹10L/Yr,M.B.A,"['IELTS - 6.5', 'PTE - 54']"
417, Uk,"University of Bradford, Bradford","England, Uk",₹22L/Yr,₹9L/Yr,M.S Computer Science,"['GRE - 314', 'TOEFL - 90']"
418, Usa,"University of Houston, Houston","Texas, Usa",₹24L/Yr,₹11L/Yr,M.S Computer Science,"['GMAT - 500', 'IELTS - 6.5']"
419, Usa,"University of Oklahoma, Norman","Oklahoma, Usa",₹24L/Yr,₹8L/Yr,M.S Information Systems,"['GRE - 319', 'TOEFL - 100', 'PTE - 53']"
420, Australia,"Southern Cross University, Lismore","New South Wales, Australia",₹6L/Yr,₹8L/Yr,M.Arch,"['GMAT - 540', 'IELTS - 6.0', 'PTE - 56']"
421, Uk,"Aberystwyth University, Aberystwyth","Wales, Uk",₹17L/Yr,₹12L/Yr,M.S Computer Science and Enginee...,"['IELTS - 6.0', 'PTE - 53']"
422, Uk,"Middlesex University, London","England, Uk",₹17L/Yr,₹11L/Yr,M.S Analytics,"['Duolingo - 115', 'IELTS - 6', 'PTE - 58']"
423, Canada,"Carleton University, Ottawa","Ontario, Canada",₹19L/Yr,₹12L/Yr,M.B.A Finance,"['TOEFL - 80', 'PTE - 53']"
424, Usa,"University of Cincinnati, Cincinnati","Ohio, Usa",₹25L/Yr,₹11L/Yr,M.S Electrical Engineering,"['GMAT - 500', 'TOEFL - 80', 'PTE - 58']"
425, Usa,"Wake Forest University, Winston-Salem","North Carolina, Usa",₹56L/Yr,₹9L/Yr,M.B.A,"['IELTS - 6.5', 'PTE - 49']"
426, Uae,"Zayed University, Dubai","Dubai, Uae",₹17L/Yr,₹10L/Yr,M.S Supply Chain Management,"['Duolingo - 110', 'IELTS - 6.5', 'PTE - 60']"
427, Malaysia,"International Islamic University Malaysia, Gombak","Selangor, Malaysia",₹31K/Yr,₹10L/Yr,M.S Computer Science,"['TOEFL - 95', 'PTE - 58']"
428, Uk,"University of Westminster, London","England, Uk",₹15L/Yr,₹11L/Yr,M.A APPLIED DATA SCIENCE,"['GRE - 303', 'IELTS - 6.5', 'PTE - 53']"
429, Germany,"University of Regensburg, Regensburg","Bavaria, Germany",₹1L/Yr,₹8L/Yr,M.B.A Information Security,['IELTS - 6.5']
430, Usa,"Swarthmore College, Swarthmore","Pennsylvania, Usa",₹51L/Yr,₹8L/Yr,M.S Pharmaceutical Sciences,"['Duolingo - 115', 'IELTS - 6.5', 'PTE - 53']"
431, Uk,"Liverpool John Moores University, Liverpool","England, Uk",₹18L/Yr,₹12L/Yr,M.S Computer Science,"['IELTS - 6.0', 'PTE - 48']"
432, Usa,"Wayne State University, Detroit","Michigan, Usa",₹35L/Yr,₹12L/Yr,M.S Computer Science,['GMAT - 500']
433, Germany,"Philipps University Marburg, Marburg","Hesse, Germany",₹66K/Yr,₹12L/Yr,M.S Computational and Data Scien...,"['GMAT - 400', 'IELTS - 6.5']"
434, Germany,"University of Rostock, Rostock","Mecklenburg-Vorpommern, Germany",₹41K/Yr,₹10L/Yr,M.S Construction Management,['IELTS - 6.5']
435, Usa,"Virginia Commonwealth University, Richmond","Virginia, Usa",₹30L/Yr,₹11L/Yr,M.S Data Science,"['TOEFL - 83', 'PTE - 48']"
436, Germany,"University of Duisburg-Essen, Duisburg","North Rhine-Westphalia, Germany",₹92K/Yr,₹10L/Yr,M.S Computer Science,"['TOEFL - 79', 'PTE - 46']"
437, Uk,"University of Brighton, Brighton","England, Uk",₹15L/Yr,₹11L/Yr,M.B.A Management,"['GMAT - 550', 'TOEFL - 90']"
438, Usa,"University at Albany, Albany","New York, Usa",₹25L/Yr,₹4L/Yr,M.B.A,"['IELTS - 6.5', 'PTE - 53']"
439, Uk,"Keele University, Newcastle","England, Uk",₹22L/Yr,₹10L/Yr,M.S Computer Science,['IELTS - 6.5']
440, Usa,"Clarkson University, Potsdam","New York, Usa",₹47L/Yr,₹12L/Yr,M.S Computer Science,"['GRE - 300', 'IELTS - 6']"
441, Canada,"University of Sherbrooke, Sherbrooke","Quebec, Canada",₹15L/Yr,₹13L/Yr,M.S Data Science,"['IELTS - 6.0', 'PTE - 48']"
442, Australia,"Charles Sturt University, Sydney","New South Wales, Australia",₹17L/Yr,₹11L/Yr,M.B.A,"['GMAT - 530', 'IELTS - 6.0', 'PTE - 54']"
443, Usa,"Auburn University, Auburn","Alabama, Usa",₹27L/Yr,₹10L/Yr,M.S Accounting,['IELTS - 6.5']
444, Usa,"Louisiana State University, Baton Rouge","Louisiana, Usa",₹24L/Yr,₹9L/Yr,M.S Preclinical Sciences,"['IELTS - 6.5', 'PTE - 53']"
445, Usa,"University of Massachusetts, Boston","Massachusetts, Usa",₹31L/Yr,₹10L/Yr,M.S Computer Science,"['Duolingo - 120', 'IELTS - 6.5', 'PTE - 53']"
446, Usa,"Clark University, Worcester","Massachusetts, Usa",₹33L/Yr,₹8L/Yr,B.S Computer Science,"['IELTS - 6.5', 'PTE - 58']"
447, Uk,"University of Hertfordshire, Hatfield","England, Uk",₹16L/Yr,₹8L/Yr,M.B.A,"['IELTS - 6.0', 'PTE - 65']"
448, Uk,"University of Lincoln, Lincoln","England, Uk",₹16L/Yr,₹7L/Yr,M.S Mechanical Engineering,['IELTS - 6.5']
449, Uk,"London South Bank University, London","England, Uk",₹17L/Yr,₹8L/Yr,M.S Computer Science,"['IELTS - 6.5', 'PTE - 59']"
450, Uk,"University of Salford, Salford","England, Uk",₹17L/Yr,₹11L/Yr,M.S Business Analytics,"['GMAT - 570', 'IELTS - 6.5', 'PTE - 54']"
451, Usa,"Clemson University, Clemson","South Carolina, Usa",₹21L/Yr,₹8L/Yr,M.S Computer Science,"['GMAT - 570', 'TOEFL - 79']"
452, Usa,"Michigan Technological University, Houghton","Michigan, Usa",₹31L/Yr,₹8L/Yr,B.S Nursing,['IELTS - 6.0']
453, Usa,"Kansas State University, Manhattan","Kansas, Usa",₹20L/Yr,₹6L/Yr,M.S Business Analytics,"['TOEFL - 79', 'PTE - 56']"
454, Usa,"Wesleyan University, Middletown","Connecticut, Usa",₹57L/Yr,₹9L/Yr,M.S Computer Science and Enginee...,"['GMAT - 650', 'IELTS - 7', 'PTE - 54']"
455, Usa,"Worcester Polytechnic Institute, Worcester","Massachusetts, Usa",₹47L/Yr,₹11L/Yr,M.B.A,"['Duolingo - 105', 'IELTS - 6']"
456, Uk,"Robert Gordon University, Aberdeen","Scotland, Uk",₹18L/Yr,₹10L/Yr,M.B.A,"['GRE - 297', 'IELTS - 6.5', 'PTE - 75']"
457, Uk,"London Metropolitan University, London","England, Uk",₹18L/Yr,₹11L/Yr,B.A Chemistry and Biochemistry,['IELTS - 6.5']
458, Usa,"University of Alabama, Birmingham","Alabama, Usa",₹30L/Yr,₹9L/Yr,M.S Information Technology,"['Duolingo - 105', 'TOEFL - 80']"
459, Usa,"University of Vermont, Burlington","Vermont, Usa",₹38L/Yr,₹8L/Yr,M.B.A International,"['IELTS - 6.5', 'PTE - 53']"
460, Usa,"Loyola University, Chicago","Illinois, Usa",₹39L/Yr,₹14L/Yr,M.S Computer Science and Informa...,"['TOEFL - 80', 'PTE - 53']"
461, Usa,"University of Denver, Denver","Colorado, Usa",₹51L/Yr,₹10L/Yr,M.S Data Science,"['GMAT - 450', 'IELTS - 6.5', 'PTE - 58']"
462, Usa,"West Virginia University, Morgantown","West Virginia, Usa",₹22L/Yr,₹9L/Yr,M.F.A Film and Digital Technolog...,"['GMAT - 450', 'TOEFL - 79', 'PTE - 56']"
463, Australia,"University of New England, Armidale","New South Wales, Australia",₹17L/Yr,₹10L/Yr,M.S Computer Science,"['IELTS - 6.0', 'PTE - 53']"
464, Germany,"Bielefeld University, Bielefeld","North Rhine-Westphalia, Germany",₹1L/Yr,₹8L/Yr,M.S Software Engineering,"['IELTS - 6.5', 'PTE - 53']"
465, Usa,"Indiana University - Purdue University Indianapolis, Indianapolis","Indiana, Usa",₹37L/Yr,₹10L/Yr,M.Ed Physical Education,['TOEFL - 90']
466, Canada,"University of Regina, Regina","Saskatchewan, Canada",₹27L/Yr,₹11L/Yr,M.B.A Jurisprudence in Corporate...,"['IELTS - 6.0', 'PTE - 50']"
467, Canada,"Vancouver Island University, Nanaimo","British Columbia, Canada",₹15L/Yr,₹7L/Yr,M.B.A,['IELTS - 6.5']
468, Australia,"University of the Sunshine Coast, Sippy Downs","Queensland, Australia",₹13L/Yr,₹8L/Yr,M.S Computer Science,"['IELTS - 7', 'PTE - 58']"
469, Uk,"Glasgow Caledonian University, Glasgow","Scotland, Uk",₹16L/Yr,₹7L/Yr,M.A Data Science and Analytics,"['Duolingo - 105', 'TOEFL - 80']"
470, Uk,"Leeds Beckett University, Leeds","England, Uk",₹13L/Yr,₹8L/Yr,M.S Biotechnology,"['IELTS - 6.5', 'PTE - 55']"
471, Uk,"Sheffield Hallam University, Sheffield","England, Uk",₹15L/Yr,₹7L/Yr,M.P.H,"['GRE - 296', 'IELTS - 6.5', 'PTE - 58']"
472, Usa,"Fordham University, Bronx","New York, Usa",₹49L/Yr,₹8L/Yr,M.S Computer and Information Sci...,"['TOEFL - 80', 'PTE - 65']"
473, Usa,"University of New Hampshire, Durham","New Hampshire, Usa",₹27L/Yr,₹9L/Yr,M.B.A,"['TOEFL - 80', 'PTE - 52']"
474, Usa,"Southern Methodist University, Dallas","Texas, Usa",₹40L/Yr,₹9L/Yr,M.S Audio Engineering,"['TOEFL - 79', 'PTE - 50']"
475, Usa,"University of North Texas, Denton","Texas, Usa",₹34L/Yr,₹10L/Yr,M.A Data Science,['TOEFL - 79']
476, Usa,"Northern Arizona University, Flagstaff","Arizona, Usa",₹28L/Yr,₹8L/Yr,M.S Physician Assistant,['IELTS - 7']
477, Usa,"University of Missouri, Kansas City","Missouri, Usa",₹34L/Yr,₹11L/Yr,M.S Mechanical Engineering,"['Duolingo - 115', 'IELTS - 7']"
478, Usa,"Kent State University, Kent","Ohio, Usa",₹21L/Yr,₹11L/Yr,M.A Advanced Studies in Deaf Edu...,"['IELTS - 6.0', 'PTE - 53']"
479, Usa,"University of Rhode Island, Kingston","Rhode Island, Usa",₹28L/Yr,₹12L/Yr,M.S Marketing,"['IELTS - 6.0', 'PTE - 44']"
480, Usa,"University of Wyoming, Laramie","Wyoming, Usa",₹18L/Yr,₹7L/Yr,M.S Biology,"['IELTS - 6.5', 'PTE - 53']"
481, Usa,"Utah State University, Logan","Utah, Usa",₹10L/Yr,₹7L/Yr,M.S Computer Science,"['IELTS - 6.5', 'PTE - 53']"
482, Usa,"University of Wisconsin, Milwaukee","Wisconsin, Usa",₹29L/Yr,₹7L/Yr,M.S Computing and Information Sc...,['TOEFL - 79']
483, Usa,"University of Idaho, Moscow","Idaho, Usa",₹24L/Yr,₹5L/Yr,M.S Biology - Nurse Anesthesia,"['Duolingo - 100', 'TOEFL - 79', 'PTE - 58']"
484, Usa,"University of Mississippi, University","Mississippi, Usa",₹29L/Yr,₹9L/Yr,M.S Computer Science,"['GMAT - 500', 'IELTS - 6.5', 'PTE - 65']"
485, Usa,"Brigham Young University, Provo","Utah, Usa",₹12L/Yr,₹8L/Yr,M.S Economics,"['IELTS - 5.5', 'PTE - 42']"
486, Usa,"Rochester Institute of Technology, Rochester","New York, Usa",₹47L/Yr,₹8L/Yr,B.S Cyber Security,"['IELTS - 6.5', 'PTE - 54']"
487, Usa,"University of Texas, San Antonio","Texas, Usa",₹14L/Yr,₹8L/Yr,M.S Environmental Biology,"['GRE - 296', 'IELTS - 6', 'PTE - 53']"
488, Usa,"San Diego State University, San Diego","California, Usa",₹18L/Yr,₹6L/Yr,M.B.A,['IELTS - 6.5']
489, Usa,"University of San Francisco, San Francisco","California, Usa",₹37L/Yr,₹10L/Yr,L.L.M,"['TOEFL - 79', 'PTE - 47']"
490, Usa,"University of Toledo, Toledo","Ohio, Usa",₹20L/Yr,₹8L/Yr,M.S Computer Science and Informa...,"['GMAT - 400', 'IELTS - 6', 'PTE - 54']"
491, Usa,"Baylor University, Waco","Texas, Usa",₹47L/Yr,₹6L/Yr,M.Ed Education,['IELTS - 6']
492, Usa,"Howard University, Washington","District Of Columbia, Usa",₹30L/Yr,₹11L/Yr,M.S Computer Science,"['TOEFL - 79', 'PTE - 53']"
493, Uk,"Birmingham City University, Birmingham","England, Uk",₹17L/Yr,₹9L/Yr,M.B.A,"['GRE - 293', 'TOEFL - 79', 'PTE - 53']"
494, Uk,"Harper Adams University, Newport","Wales, Uk",₹13L/Yr,₹11L/Yr,M.S Electrical Engineering,"['Duolingo - 110', 'IELTS - 6.5']"
495, Uk,"University of Wolverhampton, Wolverhampton","England, Uk",₹16L/Yr,₹8L/Yr,M.S Computer Science,['IELTS - 6.5']
496, Uk,"University of Northampton, Northampton","England, Uk",₹17L/Yr,₹6L/Yr,M.S Nanoengineering,"['IELTS - 6.0', 'PTE - 52']"
497, Canada,"Brock University, St. Catharines","Ontario, Canada",₹13L/Yr,₹9L/Yr,M.S Computer Science,['TOEFL - 79']
498, Usa,"Florida Atlantic University, Boca Raton","Florida, Usa",₹22L/Yr,₹11L/Yr,M.S Statistics - Data Science,"['IELTS - 5.5', 'PTE - 43']"
499, Usa,"Cleveland State University, Cleveland","Ohio, Usa",₹14L/Yr,₹7L/Yr,M.B.A,['TOEFL - 79']
500, Usa,"University of Central Oklahoma, Edmond","Oklahoma, Usa",₹13L/Yr,₹10L/Yr,M.S Digital Media,"['GMAT - 550', 'IELTS - 6.5', 'PTE - 58']"
501, Usa,"Nova Southeastern University, Fort Lauderdale","Florida, Usa",₹32L/Yr,₹9L/Yr,M.S Computer Science,"['Duolingo - 105', 'IELTS - 6', 'PTE - 53']"
502, Usa,"University of North Carolina, Greensboro","North Carolina, Usa",₹31L/Yr,₹7L/Yr,M.S Computer Science,"['TOEFL - 79', 'PTE - 50']"
503, Usa,"Pacific University, Forest Grove","Oregon, Usa",₹43L/Yr,₹7L/Yr,M.S Data Science,"['TOEFL - 79', 'PTE - 61']"
504, Usa,"University of Memphis, Memphis","Tennessee, Usa",₹21L/Yr,₹10L/Yr,M.B.A Finance,"['IELTS - 5.5', 'PTE - 54']"
505, Usa,"Miami University, Oxford","Ohio, Usa",₹31L/Yr,₹7L/Yr,M.B.A,"['IELTS - 6.0', 'PTE - 44']"
506, Usa,"Marquette University, Milwaukee","Wisconsin, Usa",₹34L/Yr,₹8L/Yr,M.B.A,"['GMAT - 400', 'IELTS - 6.5', 'PTE - 53']"
507, Usa,"University of Montana, Missoula","Montana, Usa",₹21L/Yr,₹8L/Yr,"M.S Nursing, MSN","['TOEFL - 80', 'PTE - 58']"
508, Usa,"University of South Alabama, Mobile","Alabama, Usa",₹20L/Yr,₹8L/Yr,M.S Engineering,"['GMAT - 500', 'IELTS - 6.5', 'PTE - 54']"
509, Usa,"The City College of New York, New York City","New York, Usa",₹21L/Yr,₹10L/Yr,M.B.A,"['IELTS - 6.5', 'PTE - 51']"
510, Usa,"Portland State University, Portland","Oregon, Usa",₹29L/Yr,₹8L/Yr,M.S Computer Science,"['IELTS - 6.0', 'PTE - 54']"
511, Usa,"University of San Diego, San Diego","California, Usa",₹49L/Yr,₹8L/Yr,M.S Data Analytics,"['IELTS - 6.5', 'PTE - 54']"
512, Usa,"San Francisco State University, San Francisco","California, Usa",₹7L/Yr,₹8L/Yr,M.S Computer Science,['IELTS - 5.5']
513, Usa,"Seattle University, Seattle","Washington, Usa",₹39L/Yr,₹6L/Yr,M.S Computer Science,"['TOEFL - 85', 'PTE - 58']"
514, Usa,"University of Missouri, St. Louis","Missouri, Usa",₹35L/Yr,₹7L/Yr,M.S Computer Science,"['GMAT - 440', 'TOEFL - 76']"
515, Germany,"Hamburg University of Technology, Hamburg","Hamburg, Germany",₹69K/Yr,₹7L/Yr,M.B.A,"['IELTS - 5.5', 'PTE - 43']"
516, Usa,"Humboldt State University, Arcata","California, Usa",₹9L/Yr,₹5L/Yr,M.S Engineering and Technology M...,['IELTS - 6']
517, Usa,"Western Washington University, Bellingham","Washington, Usa",₹20L/Yr,₹5L/Yr,M.B.A Management and Business Et...,"['Duolingo - 105', 'TOEFL - 80']"
518, Usa,"California State University, Los Angeles","California, Usa",₹14L/Yr,₹8L/Yr,M.A Communication,['IELTS - 6.5']
519, Usa,"Illinois State University, Normal","Illinois, Usa",₹21L/Yr,₹10L/Yr,M.S Cybersecurity,"['IELTS - 6.5', 'PTE - 50']"
520, Australia,"The University of Notre Dame, Fremantle","Western Australia, Australia",₹34L/Yr,₹7L/Yr,M.A Music,"['IELTS - 6.5', 'PTE - 53']"
521, Usa,"Santa Clara University, Santa Clara","California, Usa",₹40L/Yr,₹9L/Yr,M.S Industrial Pharmacy - Pharma...,"['TOEFL - 79', 'PTE - 50']"
522, Usa,"Villanova University, Villanova","Pennsylvania, Usa",₹44L/Yr,₹8L/Yr,M.B.A,"['Duolingo - 105', 'TOEFL - 80', 'PTE - 53']"
523, Usa,"Pepperdine University, Malibu","California, Usa",₹54L/Yr,₹10L/Yr,M.B.A,"['Duolingo - 115', 'TOEFL - 79', 'PTE - 58']"
524, Usa,"Loyola Marymount University, Los Angeles","California, Usa",₹40L/Yr,₹6L/Yr,M.S Technology (Engineering Tech...,"['Duolingo - 105', 'IELTS - 6.5']"
525, Usa,"Gonzaga University, Spokane","Washington, Usa",₹40L/Yr,₹11L/Yr,M.S Computer Information Systems,"['GRE - 290', 'TOEFL - 79', 'PTE - 53']"
526, Usa,"Texas Christian University, Fort Worth","Texas, Usa",₹36L/Yr,₹6L/Yr,M.S Computer Science,['TOEFL - 79']
527, Usa,"California State University, Long Beach","California, Usa",₹8L/Yr,₹7L/Yr,M.S Information Security Managem...,"['GMAT - 580', 'IELTS - 6.5', 'PTE - 55']"
528, Usa,"Fairfield University, Fairfield","Connecticut, Usa",₹44L/Yr,₹8L/Yr,M.S Computer Science,"['TOEFL - 79', 'PTE - 53']"
529, Usa,"James Madison University, Harrisonburg","Virginia, Usa",₹28L/Yr,₹6L/Yr,M.B.A Business Administration an...,"['IELTS - 6.5', 'PTE - 40']"
530, Usa,"Creighton University, Omaha","Nebraska, Usa",₹37L/Yr,₹8L/Yr,M.S Health Informatics,"['IELTS - 6', 'PTE - 54']"
531, Usa,"University of Dayton, Dayton","Ohio, Usa",₹36L/Yr,₹8L/Yr,M.S Cybersecurity,"['GRE - 304', 'IELTS - 6.5', 'PTE - 53']"
532, Usa,"California State University, Fullerton","California, Usa",₹8L/Yr,₹11L/Yr,M.S Computer Science,"['Duolingo - 105', 'TOEFL - 79']"
533, Usa,"Chapman University, Orange","California, Usa",₹52L/Yr,₹13L/Yr,M.A Mental Health Counseling wit...,"['Duolingo - 105', 'IELTS - 6']"
534, Usa,"Thomas Jefferson University, Philadelphia","Pennsylvania, Usa",₹35L/Yr,₹7L/Yr,M.S Computer Science,"['IELTS - 6.0', 'PTE - 48']"
535, Usa,"Simmons University, Boston","Massachusetts, Usa",₹34L/Yr,₹6L/Yr,M.B.A,"['GMAT - 550', 'TOEFL - 80', 'PTE - 50']"
536, Usa,"DePaul University, Chicago","Illinois, Usa",₹31L/Yr,₹9L/Yr,M.B.A,"['IELTS - 6.5', 'PTE - 41']"
537, Usa,"Duquesne University, Pittsburgh","Pennsylvania, Usa",₹37L/Yr,₹8L/Yr,M.S Computer Engineering,"['TOEFL - 79', 'PTE - 56']"
538, Usa,"Seton Hall University, South Orange","New Jersey, Usa",₹37L/Yr,₹9L/Yr,M.B.A,"['IELTS - 6.5', 'PTE - 53']"
539, Usa,"Stockton University, Galloway","New Jersey, Usa",₹22L/Yr,₹7L/Yr,M.S Computer Science,"['TOEFL - 79', 'PTE - 52']"
540, Usa,"UMass Lowell, Lowell","Massachusetts, Usa",₹29L/Yr,₹7L/Yr,M.S Computer Science,"['IELTS - 6.0', 'PTE - 53']"
541, Usa,"Montclair State University, Montclair","New Jersey, Usa",₹24L/Yr,₹8L/Yr,M.S Nurse Educator,"['GRE - 300', 'TOEFL - 79', 'PTE - 53']"
542, Usa,"St. John's University, Jamaica","New York, Usa",₹34L/Yr,₹9L/Yr,M.A Media Communication (Public ...,['IELTS - 6.5']
543, Usa,"Quinnipiac University, Hamden","Connecticut, Usa",₹42L/Yr,₹8L/Yr,M.S Applied Engineering and Tech...,"['GMAT - 560', 'TOEFL - 80', 'PTE - 53']"
544, Usa,"University of La Verne, La Verne","California, Usa",₹33L/Yr,₹10L/Yr,M.S Computer Science,"['IELTS - 7', 'PTE - 58']"
545, Usa,"Mercer University, Macon","Georgia, Usa",₹29L/Yr,₹9L/Yr,M.S Computer Science,"['GMAT - 430', 'IELTS - 6.0', 'PTE - 53']"
546, Usa,"California State University, San Bernardino","California, Usa",₹9L/Yr,₹7L/Yr,M.B.A,"['IELTS - 6.0', 'PTE - 50']"
547, Usa,"Drake University, Des Moines","Iowa, Usa",₹35L/Yr,₹6L/Yr,M.S Agriculture,"['GMAT - 545', 'IELTS - 6.5']"
548, Usa,"Samford University, Birmingham","Alabama, Usa",₹30L/Yr,₹3L/Yr,M.S Computer Science,"['TOEFL - 79', 'PTE - 58']"
549, Usa,"University of Detroit Mercy, Detroit","Michigan, Usa",₹40L/Yr,₹7L/Yr,M.S Computer Science,"['TOEFL - 79', 'PTE - 53']"
550, Usa,"California State University, Fresno","California, Usa",₹5L/Yr,₹7L/Yr,M.S Graphic Design,"['GMAT - 530', 'IELTS - 6.5', 'PTE - 55']"
551, Usa,"Hofstra University, Hempstead","New York, Usa",₹44L/Yr,₹6L/Yr,M.S Computer Science,"['GMAT - 500', 'IELTS - 6.5']"
552, Usa,"Bradley University, Peoria","Illinois, Usa",₹39L/Yr,₹6L/Yr,M.S Computer Science,"['GMAT - 500', 'IELTS - 6.5']"
553, Usa,"East Carolina University, Greenville","North Carolina, Usa",₹8L/Yr,₹7L/Yr,M.S Pharmaceutical Sciences,"['Duolingo - 130', 'IELTS - 6.5']"
554, Usa,"University of Louisville, Louisville","Kentucky, Usa",₹24L/Yr,₹12L/Yr,M.B.A,"['GRE - 300', 'IELTS - 6.5', 'PTE - 58']"
555, Usa,"University of Nevada, Reno","Nevada, Usa",₹22L/Yr,₹5L/Yr,M.B.A Finance and Investing,"['Duolingo - 80', 'IELTS - 5.0', 'PTE - 35']"
556, Usa,"Robert Morris University - Illinois, Chicago","Illinois, Usa",₹27L/Yr,₹6L/Yr,M.B.A,"['TOEFL - 79', 'PTE - 59']"
557, Usa,"Xavier University, Cincinnati","Ohio, Usa",₹34L/Yr,₹6L/Yr,M.S Agricultural and Consumer Re...,['IELTS - 6']
558, Usa,"La Salle University, Philadelphia","Pennsylvania, Usa",₹28L/Yr,₹8L/Yr,M.B.A Management,"['GRE - 298', 'IELTS - 6', 'PTE - 50']"
559, Usa,"Valparaiso University, Valparaiso","Indiana, Usa",₹34L/Yr,₹8L/Yr,M.S Computer Science,['IELTS - 7']
560, Usa,"University of North Carolina, Wilmington","North Carolina, Usa",₹19L/Yr,₹7L/Yr,M.S Applied Computer Science,['IELTS - 6']
561, Usa,"Sacred Heart University, Fairfield","Connecticut, Usa",₹39L/Yr,₹8L/Yr,M.B.A,['IELTS - 6']
562, Usa,"University of Massachusetts, North Dartmouth","Massachusetts, Usa",₹33L/Yr,₹8L/Yr,M.B.A,"['TOEFL - 80', 'PTE - 58']"
563, Usa,"Chatham University, Pittsburgh","Pennsylvania, Usa",₹36L/Yr,₹10L/Yr,M.B.A,"['TOEFL - 79', 'PTE - 54']"
564, Usa,"West Chester University, West Chester","Pennsylvania, Usa",₹16L/Yr,₹6L/Yr,M.S Computer Science and Informa...,"['TOEFL - 80', 'PTE - 53']"
565, Usa,"Ball State University, Muncie","Indiana, Usa",₹21L/Yr,₹7L/Yr,M.S Computer Science,"['GMAT - 400', 'TOEFL - 79', 'PTE - 57']"
566, Usa,"Springfield College, Springfield","Massachusetts, Usa",₹33L/Yr,₹10L/Yr,M.S Cybersecurity,['IELTS - 7']
567, Usa,"Widener University, Chester","Pennsylvania, Usa",₹36L/Yr,₹4L/Yr,M.Acc,['IELTS - 6']
568, Usa,"Western Carolina University, Cullowhee","North Carolina, Usa",₹11L/Yr,₹7L/Yr,M.S.W,"['TOEFL - 69', 'PTE - 45']"
569, Usa,"University of Alabama, Huntsville","Alabama, Usa",₹32L/Yr,₹7L/Yr,M.A Computer Science,"['GRE - 298', 'TOEFL - 80']"
570, Usa,"Grand Valley State University, Allendale","Michigan, Usa",₹16L/Yr,₹6L/Yr,M.S Information Systems,"['GMAT - 450', 'IELTS - 6']"
571, Usa,"Azusa Pacific University, Azusa","California, Usa",₹42L/Yr,₹7L/Yr,B.S Nursing,"['TOEFL - 61', 'PTE - 51']"
572, Usa,"University of North Dakota, Grand Forks","North Dakota, Usa",₹9L/Yr,₹6L/Yr,M.S Computer Science - Software ...,['IELTS - 6.5']
573, Usa,"University of North Florida, Jacksonville","Florida, Usa",₹32L/Yr,₹8L/Yr,M.S Computer Science,['IELTS - 5']
574, Usa,"Biola University, La Mirada","California, Usa",₹35L/Yr,₹5L/Yr,M.S Computer Science,"['TOEFL - 79', 'PTE - 46']"
575, Usa,"Belmont University, Nashville","Tennessee, Usa",₹45L/Yr,₹7L/Yr,M.S Computer Science,"['GRE - 296', 'IELTS - 6.5', 'PTE - 58']"
