exam_name_updated,full_form,Exam_category,application_form_date,examination_date,result_date,Logo_Img_links,,Mode_of_exam,detail_text
ISI Admission Test,Indian Statistical Institute Admission Test,Engineering,25 May 24-25 Jun 24,,,https://images.collegedunia.com/public/college_data/images/logos/jacdelhiLOGO.jpg?h=66&w=66&mode=stretch,,Online Test,JELET is a state level examination conducted by WBJEEB for lateral entry
SRMHCAT,SRM Common Admission Test,Engineering,05 Mar 24-05 Apr 24,19-May-24,,https://images.collegedunia.com/public/college_data/images/logos/thumb.gif?h=66&w=66&mode=stretch,,Online Test,"AJEE is a national level entrance exam conducted by AISECT University,  for admission to various UG and PG courses"
PUCAT,Purvanchal University Combined Admission Test,Engineering,20 Mar 24-03 Jun 24,05 Jun 24-12 Jun 24,20-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/BHU PET Logo.png?h=66&w=66&mode=stretch,,Written Test,ISI Admission Test is conducted for admission in various Undergraduate and Postgraduate course
NTA PhD Entrance Exam,NTA PhD Entrance Exam,Engineering,01 Mar 23-01 Jun 23,1-Jul-23,,https://images.collegedunia.com/public/college_data/images/logos/VELS.jpg?h=66&w=66&mode=stretch,,Written Test,PUCAT  is a university-level exam conducted every year for admitting aspirants into various PG programs in Purvanchal University
DEEET,Diploma Engineering Entrance Examination of Tripura,Engineering,29 Mar 23-10 May 23,15-May-23,14-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/cee.PNG?h=66&w=66&mode=stretch,,Online Test,SAAT is a National level exam conducted for admission into various UG and PG courses
SKUCET,SRI KRISHNADEVARAYA UNIVERSITY COMMON ENTRANCE TEST,Engineering,,,,https://images.collegedunia.com/public/college_data/images/logos/BCECE.png?h=66&w=66&mode=stretch,,Online Test,CMRUAT is a University level examination conducted to admission in various UG and PG courses offered by CMR University
UPESEAT,University of Petroleum and Energy Studies Engineering Aptitude Test,Engineering,29 May 23-18 Jun 23,9-Jul-23,,https://images.collegedunia.com/public/college_data/images/logos/CG LOGO.jpg?h=66&w=66&mode=stretch,,Written Test,
MP Counselling,Madhya Pradesh Counselling,Engineering,25 Apr 23-09 Jun 23,25-Jun-23,14-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/pu-logo-red.png?h=66&w=66&mode=stretch,,Written Test,"Jharkhand Polytechnic is a state level entrance exam, conducted for admission to  various engineering and non-engineering diploma courses"
GVSAT,Suresh Gyan Vihar University Entrance Exam,Engineering,,,,https://images.collegedunia.com/public/college_data/images/logos/CSAB logo.png?h=66&w=66&mode=stretch,,Written Test,
Rajasthan LEEP,Rajasthan Lateral Entry in Engineering Program,Engineering,20 Nov 23-17 Apr 24,22-Apr-24,28-Apr-24,https://images.collegedunia.com/public/college_data/images/logos/1423571082SRMJEEE logo.png?h=66&w=66&mode=stretch,,Online Test,ITM NEST is a common entrance examination for admission to various programs offered by ITM University Gwalior
IIITH PGEE,International Institute of Information Technology Hyderabad Post Graduate Entrance Examination,Engineering,01 Mar 23-05 May 23,31-May-23,15-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/logo.jpeg?h=66&w=66&mode=stretch,,Online Test,"CIEAT is an entrance test, conducted for admission into the engineering programs by B S Abdur Rahman Crescent Institute of Science and Technology"
VTUEEE,Veltech Technical University Engineering Entrance Exam,Engineering,11 Mar 23-10 Apr 23,14-May-23,,https://images.collegedunia.com/public/college_data/images/logos/ISI Logo.png?h=66&w=66&mode=stretch,,Online Test,VSAT exam conducted by Vignan’s University in the state of Andhra Pradesh for admission in the B.Tech course
APJEE,Arunachal Pradesh Joint Entrance Examination,Engineering,02 Mar 24-15 May 24,20-May-24,13-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/ts ecet.jpg?h=66&w=66&mode=stretch,,Written Test,"MZUEEE is a state level exam conducted by Mizoram University, for admission into B.Tech programs"
VOCLET,Vocational Lateral Entry Test,Engineering,21 Feb 23-16 Mar 23,19 Aug 23-10 Sept 23,,https://images.collegedunia.com/public/college_data/images/logos/01-1427877734-31-1427784268-27-integraluniversity.jpg?h=66&w=66&mode=stretch,,Online Test,"AAEEE is a university level exam, conducting for admission to BE/B.Tech courses"
IEMJEE,Institute of Engineering and Management Joint Entrance Exam,Engineering,01 Jun 24-15 Apr 24,11-Jun-24,18-Aug-24,https://images.collegedunia.com/public/college_data/images/logos/APIIT.jpg?h=66&w=66&mode=stretch,,Written Test,"AMIETE is a national level entrance exam, for recruitment to several high-level post and services"
JEXPO,Joint Entrance Examination for Polytechnics,Engineering,27 Mar 24-25 Apr 24,3-May-24,5-May-24,https://images.collegedunia.com/public/college_data/images/logos/Andhra-University-2017.png?h=66&w=66&mode=stretch,,Online Test,"IEMJEE is a university level exam conducted every year for admission into various UG, PG and PhD programs"
PESSAT,PES Scholastic Aptitude Test,Engineering,02 Mar 23-10 May 23,11-Jul-23,30-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/BPTPIA.png?h=66&w=66&mode=stretch,,Written Test,JEXPO is a joint entrance exam for admission to Polytechnic Diploma in Engineering
KIITEE,Kalinga Institute of Industrial Technology Entrance Exam,Engineering,24 Jul 23-20 Aug 23,,,https://images.collegedunia.com/public/college_data/images/logos/UPTAC.jpg?h=66&w=66&mode=stretch,,Online Test,
BEEE,Bharath Engineering Entrance Examination,Engineering,02 May 23-25 May 23,5-Jun-23,3-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/download (1).png?h=66&w=66&mode=stretch,,Online Test,"UPESEAT is an University level exam, conducted for admission to various B.Tech courses offered by UPES"
LEET,Haryana Lateral Entry Entrance Test,Engineering,28 Feb 24-10 Apr 24,3-Jun-24,28-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/logo (1).png?h=66&w=66&mode=stretch,,Online Test,PULEET exam conducted for admission to lateral/direct entry to second year of various engineering courses offered by Panjab University
SET,Symbiosis Entrance Test,Engineering,28 Jun 24-07 Jul 24,15 Jul 24-16 Jul 24,17-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/llooggoo.png?h=66&w=66&mode=stretch,,Online Test,"PESSAT is a university level exam, conducted by PES University, Bangalore every year for admission to UG and PG programs"
UUEE,Uttaranchal University Entrance Examination,Engineering,1-Feb-24,15-Feb-24,15-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/1519895421QULogo1.png?h=66&w=66&mode=stretch,,Written Test,"Rajasthan LEEP is a state level entrance exam, conducted for admission to direct entry in the second year of engineering programs"
CEE AMPAI,Common Entrance Examination of Association of Minority Professional Academic Institution,Engineering,05 May 23-04 Jun 23,,,https://images.collegedunia.com/public/college_data/images/logos/tanata logo.png?h=66&w=66&mode=stretch,,Written Test,CEE AMPAI entrance exam is conducted for admissions in PG courses in colleges associated with AMPAI West Bengal
MUJEE,Mangalayatan University Joint Entrance Examination,Engineering,29 Mar 23-22 Jun 23,25-Jun-23,,https://images.collegedunia.com/public/college_data/images/logos/DY Patil Pune.jpg?h=66&w=66&mode=stretch,,Written Test,AUCET is a state-level entrance exam conducted to admission in post-graduate courses
CG PPHT,Chhattisgarh Pre Pharmacy Test,Engineering,19 Oct 22-13 Apr 23,15 Apr 23-18 Apr 23,,https://images.collegedunia.com/public/college_data/images/logos/logo-white.png?h=66&w=66&mode=stretch,,Online Test,"KIITEE is conducted by KIIT for admission to UG, PG engineering and law courses"
JELET,Joint Entrance Examination for Lateral Entry,Engineering,18 Dec 22-20 May 23,24-May-23,,https://images.collegedunia.com/public/college_data/images/logos/dsat logo.png?h=66&w=66&mode=stretch,,Online Test,GVSAT is a state level entrance exam conducted for admissions to various B.Tech courses
SAJEE,St Andrews Joint Entrance Examination,Engineering,15 Apr 23-15 May 23,25 May 23-31 May 23,5-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/index.png?h=66&w=66&mode=stretch,,Online Test,APIIT NAT is a national level examination conducted for engineering and management courses
Maharashtra JEE Main,Maharashtra JEE Main,Engineering,07 Jun 23-29 Jun 23,2-Jul-23,,https://images.collegedunia.com/public/college_data/images/logos/xsdkqeernhddhbdyqcg2.png?h=66&w=66&mode=stretch,,Written Test,VEE is a qualifying entrance exam for admission to UG and PG programs offered by VELS University Chennai
AME CET,AME CET,Engineering,19 Apr 23-12 Jul 23,22 Jul 23-24 Jul 23,,https://images.collegedunia.com/public/college_data/images/logos/mcaer logo.PNG?h=66&w=66&mode=stretch,,Online Test,LEET is a state-level lateral entry entrance test conducted for admission into 2nd year/3rd Semester of B.E./B.Tech programs
KRLMPCA CET,Karnataka Religious and Linguistic Minority Professional Colleges Association Common Entrance Test,Engineering,21 Mar 24-03 May 24,27-May-24,9-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/BITS logo.png?h=66&w=66&mode=stretch,,Online Test,"BEEE is a national level entrance exam, conducted for admission in various UG, PG and Architecture courses"
Assam JLEE,Assam Joint Lateral Entrance Examination,Engineering,12 Jul 23-19 Jun 23,18-Jul-23,25-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/uksee logo.png?h=66&w=66&mode=stretch,,Online Test,CUEE is a national level entrance exam conducted for admission to B.Tech and lateral entry
SAEEE,Sathyabhama All India Entrance Exam,Engineering,10 Apr 24-05 Jun 24,18-Jun-24,28-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/assam_logo.jpg?h=66&w=66&mode=stretch,,Online Test,
AJEE,AISECT Joint Entrance Exam,Engineering,12 May 23-03 Apr 23,21-May-23,1-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/imgres-70.jpg?h=66&w=66&mode=stretch,,Written Test,
ICAR AIEEA,Indian Council of Agricultural Research All India Entrance Examination for Admission,Engineering,01 Feb 23-01 Mar 23,30 Mar 23-31 Mar 23,,https://images.collegedunia.com/public/college_data/images/logos/images.jpg?h=66&w=66&mode=stretch,,Written Test,
Andhra University Engineering Entrance Test,Andhra University Engineering Entrance Test,Engineering,16 Jan 23-10 Jul 23,15-Jul-23,,https://images.collegedunia.com/public/college_data/images/logos/uu logo.jpg?h=66&w=66&mode=stretch,,Written Test,
CEETA PG,Common Engineering Entrance Test and Admissions  Post Graduate,Engineering,25 Jan 24-31 Mar 24,16 Apr 24-23 Apr 24,12-May-24,https://images.collegedunia.com/public/college_data/images/logos/VIT.png?h=66&w=66&mode=stretch,,Online Test,KLEEE is an Engineering Entrance Exam conducted by KL University in the state of Andhra Pradesh for admission into B.Tech courses
CET Delhi Polytechnic,Common Entrance Test Delhi Polytechnic,Engineering,07 Jul 24-17 Apr 24,13-Jul-24,24-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/Niper_Kolkata.png?h=66&w=66&mode=stretch,,Online Test,"SRMS EET is a national level test, conducting for admission to B.Tech programs under management quota"
REAP,Rajasthan Engineering Admission Process,Engineering,24 Mar 24-07 May 24,26 May 24-28 May 24,30-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/tu_logo.png?h=66&w=66&mode=stretch,,Online Test,VTUEEE exam is conducted for admissions  into B.Tech course offered by the VelTech University.
BVP CET,Bharati Vidyapeeth Common Entrance Test,Engineering,25 Apr 24-20 May 24,02 Jun 24-05 Jun 24,,https://images.collegedunia.com/public/college_data/images/logos/Allahabad-University.png?h=66&w=66&mode=stretch,,Online Test,"NERIST is a state level exam conducted  for Certificate, Diploma and Degree Courses"
BIHAR ITICAT,Bihar  Industrial Training Institute Competitive Admission Test,Engineering,17 May 24-08 Jun 24,25-Jun-24,7-Aug-24,https://images.collegedunia.com/public/college_data/images/logos/main.jpg?h=66&w=66&mode=stretch,,Online Test,REAP Entrance Exam is conducted for admission to the various UG engineering programs (B.E/ B.Tech)
JNU CEEB,Jawaharlal Nehru University Combined Entrance Examination for Biotechnology,Engineering,20 Feb 24-27 Mar 24,14-May-24,31-May-24,https://images.collegedunia.com/public/college_data/images/logos/jet.png?h=66&w=66&mode=stretch,,Online Test,AEEE is a university level exam conducted every year for admission into various UG Engineering programs
GD Goenka scholarship test,GD Goenka scholarship test,Engineering,04 May 23-17 Feb 23,24 Jun 23-25 Jun 23,,https://images.collegedunia.com/public/college_data/images/logos/NERIST Logo.png?h=66&w=66&mode=stretch,,Written Test,TNEA is a state level counselling conducted by Anna University for  B.E./B.Tech admissions in Tamil Nadu colleges
Q Care,Quantum University Entrance Test,Engineering,27 Feb 24-10 Apr 24,30-Apr-24,,https://images.collegedunia.com/public/college_data/images/logos/jcece logo.jpg?h=66&w=66&mode=stretch,,Online Test,"JNU CEEB is a University Level Entrance exam, conducted for admission in various Postgraduate programs"
KLUEEE,KLU Engineering Entrance Exam,Engineering,09 Jun 24-26 Jul 24,1-Aug-24,,https://images.collegedunia.com/public/college_data/images/logos/h 2021.png?h=66&w=66&mode=stretch,,Written Test,"Gujarat PGCET is a state level exam conducted by ACPC; Admission Committee for Professional Courses for admission into postgraduate courses of Engineering, Architecture & Pharma Courses"
SRMS EET,Shri Ram Murti Smarak Engineering Entrance Exam,Engineering,04 Jan 23-19 Jun 23,26-Jun-23,,https://images.collegedunia.com/public/college_data/images/logos/cmruat logo.PNG?h=66&w=66&mode=stretch,,Written Test,"CEETA PG 2023 is the Common Engineering Entrance Test for Admission to the postgraduate programs- M. E./ M. Tech./ M. Arch./ M. Plan. CEETA PG 2023 will be conducted by Anna University, Chennai on behalf of the Tamil Nadu government."
DAVUET,DAV University Entrance Test,Engineering,17 May 23-19 Jun 23,25-Jun-23,,https://images.collegedunia.com/public/college_data/images/logos/cg.jpg?h=66&w=66&mode=stretch,,Written Test,
HITSEEE,Hindustan Institute of Technology and Science Engineering Entrance Examination,Engineering,26 Dec 22-15 Aug 23,,,https://images.collegedunia.com/public/college_data/images/logos/amity_497170.png?h=66&w=66&mode=stretch,,Online Test,HP PAT is a state level exam for admission to Diploma courses in various government and private Polytechnic institutions
SRMJEEE,SRM Joint Engineering Entrance Examination,Engineering,01 Oct 23-01 Dec 23,1-May-24,,https://images.collegedunia.com/public/college_data/images/logos/amrita.png?h=66&w=66&mode=stretch,,Written Test,BVP CET is a university-level test for admission to B.Tech. in colleges affiliated with BVP University
Gujarat PGECET,Gujarat Post Graduate Common Entrance Test,Engineering,29 May 23-03 Jun 23,,,https://images.collegedunia.com/public/college_data/images/logos/UEM.png?h=66&w=66&mode=stretch,,Online Test,
REVA EET,REVA University Engineering Entrance Test,Engineering,,,,https://images.collegedunia.com/public/college_data/images/logos/MP Counselling Logo.jpg?h=66&w=66&mode=stretch,,Online Test,"Amity JEE is conducted for admissions to B.Tech. programs offered by Amity University, Noida"
AMIETE,Associate Member of Institution Electronics and Telecommunication Engineers,Engineering,01 Mar 23-18 May 23,3-Jun-23,,https://images.collegedunia.com/public/college_data/images/logos/download (1).jfif?h=66&w=66&mode=stretch,,Online Test,"MUJEE is a university level exam conducted by Magalayam University, for admission to B.Tech and other degree programs"
MZUEEE,Mizoram University Engineering Entrance Examination,Engineering,19 Apr 24-23 May 24,27-May-24,27-May-24,,,Online Test,REVA EET is a national level entrance exam conducted by REVA University for admissions to B.Tech programs
CG PPT,Chhattisgarh Pre Polytechnic Test,Engineering,01 Feb 23-25 Apr 23,28 Apr 23-30 Apr 23,,https://images.collegedunia.com/public/college_data/images/logos/UPES LOGO.png?h=66&w=66&mode=stretch,,Online Test,CG PPT is a state level entrance exam conducted to provides entry to the diploma courses
PULEET,Panjab University Lateral Engineering Entrance Test,Engineering,10 Nov 21-15 Mar 22,5-May-22,14-May-22,https://images.collegedunia.com/public/college_data/images/logos/logo-amecet-2019.png?h=66&w=66&mode=stretch,,Online Test,AME CET is conducted for admission in Aircraft Maintenance Engineering courses.
APIIT NAT,APIIT National Aptitude Test,Engineering,31 Aug 23-13 Sept 23,14-Oct-23,,https://images.collegedunia.com/public/college_data/images/logos/LEEP.jpg?h=66&w=66&mode=stretch,,Written Test,
IIITH UGEE,International Institute of Information Technology Hyderabad Undergraduate Entrance Examination,Engineering,15 Mar 24-18 Apr 24,,,https://images.collegedunia.com/public/college_data/images/logos/SAITM logo.jpg?h=66&w=66&mode=stretch,,Written Test,
UPTAC,Uttar Pradesh Technical Admission Counselling,Engineering,19 Jun 24-22 May 24,2-Jul-24,11-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/astu-logo.jpg?h=66&w=66&mode=stretch,,Online Test,SAEEE conducts every year for the students applying for the engineering programs like B.E/ B.Tech/ B.Arch/ B.Des.
AKNUCET,Adikavi Nannaya University Common Entrance Test,Engineering,22 Jun 23-30 Jul 23,,,https://images.collegedunia.com/public/college_data/images/logos/mono.jpg?h=66&w=66&mode=stretch,,Online Test,
TS ECET,Telangana State Engineering Common Entrance Test,Engineering,02 Nov 22-27 Mar 23,30 Mar 23-02 Apr 23,12-Apr-23,https://images.collegedunia.com/public/college_data/images/logos/vel.png?h=66&w=66&mode=stretch,,Written Test,
AME CEE,Aircraft Maintenance Engineering Common Entrance Exam,Engineering,18 May 24-23 Mar 24,25-May-24,6-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/KRLMPCA CET-logo.jpg?h=66&w=66&mode=stretch,,Written Test,
DAVV CET,Devi Ahilya Vishwavidyalaya Common Entrance Test,Engineering,28 Jan 24-10 Apr 24,,,https://images.collegedunia.com/public/college_data/images/logos/BEEE-Exam.png?h=66&w=66&mode=stretch,,Online Test,RTU CAM exam is conducted for admission to First Year of M.Tech/M.Arch technical degree programs
NMIMS Entrance Test,NMIMS Entrance Test,Engineering,02 Mar 24-03 Apr 24,29-Apr-24,,https://images.collegedunia.com/public/college_data/images/logos/AAEEE logo.png?h=66&w=66&mode=stretch,,Online Test,
COAP,Common Offer Acceptance Portal,Engineering,12 Jul 23-18 Jul 23,,,https://images.collegedunia.com/public/college_data/images/logos/pondicherry-university-entrance-exam.png?h=66&w=66&mode=stretch,,Online Test,Devi Ahilya Vishwavidyalaya conducts DAVV CET exam for admission to its UG & PG courses
HSTES,Haryana State Technical Educations Society,Engineering,,,,https://images.collegedunia.com/public/college_data/images/logos/Karnataka DCET Logo.jpg?h=66&w=66&mode=stretch,,Written Test,UUEE is a university level examination supervised by Uttaranchal University (UU). Students seeking admissions in UG and PG courses can apply for UUEE.
Gujarat ACPC,Gujarat Admission Committee for Professional Courses,Engineering,30 Apr 23-04 Jul 23,8-Aug-23,29-Aug-23,https://images.collegedunia.com/public/college_data/images/logos/mu-logo.png?h=66&w=66&mode=stretch,,Written Test,
CSAB Counselling,Central Seat Allocation Board Counselling,Engineering,10 Mar 23-31 May 23,10-Aug-23,,https://images.collegedunia.com/public/college_data/images/logos/download (1).jpg?h=66&w=66&mode=stretch,,Written Test,
RTU CAM,Rajasthan Technical University Centralized Admission for MTech MArch,Engineering,12 Jun 24-22 Jun 24,,,https://images.collegedunia.com/public/college_data/images/logos/Screenshot 2023-02-20 123703.png?h=66&w=66&mode=stretch,,Online Test,
JAC Delhi,Joint Admission Counseling Delhi,Engineering,15 May 24-25 Jun 24,,,https://images.collegedunia.com/public/college_data/images/logos/JAC CHANDIGARH LOGO.PNG?h=66&w=66&mode=stretch,,Written Test,
Rajasthan Polytechnic Exam,Rajasthan Polytechnic Exam,Engineering,,,,https://images.collegedunia.com/public/college_data/images/logos/MH JEE Main.png?h=66&w=66&mode=stretch,,Written Test,"DASA or Direct Admission of Students Abroad is conducted for international students seeking admission to NITs, IIITs, CFITs, DTU, SPA, etc."
CENTAC,Central Admission Committee,Engineering,05 Dec 23-31 Mar 24,19 May 24-21 May 24,,https://images.collegedunia.com/public/college_data/images/logos/logo 2.png?h=66&w=66&mode=stretch,,Online Test,Rajasthan Polytechnic Exam is conducted for admission to various Polytechnic courses
Karnataka DCET,Karnataka Diploma Common Entrance Test,Engineering,,,,https://images.collegedunia.com/public/college_data/images/logos/HSTES-Haryana.jpg?h=66&w=66&mode=stretch,,Online Test,
JAC Chandigarh,Joint Admission Committee Chandigarh,Engineering,,,,https://images.collegedunia.com/public/college_data/images/logos/Gujarat ACPC logo.png?h=66&w=66&mode=stretch,,Written Test,
DASA,Direct Admission of Students Abroad,Engineering,03 Oct 23-04 Nov 23,,,https://images.collegedunia.com/public/college_data/images/logos/rmat.png?h=66&w=66&mode=stretch,,Written Test,"CENTAC entrance exam conducted for admission to various UG courses in the field of engineering, pharmacy and other"
